scope,prompting_configuration,model,category,N,CV,ES,EM,SE,SE_binary_rate,RQ,gen_time_ms_median,gen_time_ms_mean
category_x_model_x_config,Schema Baseline,llama3.2:3b,Comparative,22,0.4091,0.4091,0.0,0.0,0.0,0.0227,4303.5,4233.4
category_x_model_x_config,Schema Baseline,llama3.2:3b,Health Risk,30,0.5333,0.3,0.0,0.0,0.0,0.05,4446.0,4065.0
category_x_model_x_config,Schema Baseline,llama3.2:3b,Station Filtering,30,0.6667,0.6667,0.0,0.0,0.0,0.0167,4430.2,5395.3
category_x_model_x_config,Schema Baseline,llama3.2:3b,Temporal,30,0.2333,0.2,0.0,0.0,0.0,0.1167,5951.3,6225.4
category_x_model_x_config,Schema Baseline,qwen2.5-coder:32b,Aggregate,38,1.0,1.0,0.0,0.0,0.0,0.5789,10799.8,11062.7
category_x_model_x_config,Schema Baseline,qwen2.5-coder:32b,Comparative,22,0.3636,0.0,0.0,0.0,0.0,0.0,13075.1,13721.1
category_x_model_x_config,Schema Baseline,qwen2.5-coder:32b,Health Risk,30,0.5,0.3667,0.0,0.0,0.0,0.3667,16042.7,15440.5
category_x_model_x_config,Schema Baseline,qwen2.5-coder:32b,Station Filtering,30,0.9667,0.9667,0.0,0.0,0.0,0.0333,10171.1,10491.3
category_x_model_x_config,Schema Baseline,qwen2.5-coder:32b,Temporal,30,0.4667,0.4667,0.0,0.0208,0.0,0.0333,10648.7,10761.5
category_x_model_x_config,Schema Baseline,qwen2.5:72b,Aggregate,38,0.9737,0.9737,0.0,0.0,0.0,0.4342,9240.3,9224.4
category_x_model_x_config,Schema Baseline,qwen2.5:72b,Comparative,22,0.6364,0.6364,0.0,0.0,0.0,0.0,10060.3,10260.6
category_x_model_x_config,Schema Baseline,qwen2.5:72b,Health Risk,30,1.0,1.0,0.0,0.0,0.0,0.2667,12176.5,12251.5
category_x_model_x_config,Schema Baseline,qwen2.5:72b,Station Filtering,30,0.3333,0.3333,0.0,0.0,0.0,0.0167,10694.5,17048.5
category_x_model_x_config,Schema Baseline,qwen2.5:72b,Temporal,30,0.7667,0.7667,0.0,0.0,0.0,0.0,9176.9,9263.1
category_x_model_x_config,Schema+Values,gemma2:9b,Aggregate,38,0.3684,0.3684,0.0,0.0,0.0,0.2895,7787.6,7895.1
category_x_model_x_config,Schema+Values,gemma2:9b,Comparative,22,0.4091,0.4091,0.0,0.2114,0.0909,0.3636,12993.8,12440.2
category_x_model_x_config,Schema+Values,gemma2:9b,Health Risk,30,0.9667,0.3667,0.0,0.0,0.0,0.1833,9147.6,8800.0
category_x_model_x_config,Schema+Values,gemma2:9b,Station Filtering,30,0.8,0.8,0.0,0.203,0.0333,0.3,10759.4,11872.0
category_x_model_x_config,Schema+Values,gemma2:9b,Temporal,30,0.0,0.0,0.0,0.0,0.0,0.0,10198.9,9536.8
category_x_model_x_config,Schema+Values,llama3.2:3b,Aggregate,38,0.6842,0.5263,0.0,0.0,0.0,0.25,6283.5,6851.2
category_x_model_x_config,Schema+Values,llama3.2:3b,Comparative,22,0.5455,0.5,0.0,0.0238,0.0,0.3409,2449.6,2464.3
